Time resolution is 1 ps
Time:                    0 	  rst=1  	 wrt_en=0 	 rd_en=0 	 buf_in=00 	 buf_out=00 	 buf_empty=1 	 buf_full=0  	 fifo_count=0000000
Time:                   15 	  rst=0  	 wrt_en=0 	 rd_en=0 	 buf_in=00 	 buf_out=00 	 buf_empty=1 	 buf_full=0  	 fifo_count=0000000
Time:                   25 	  rst=0  	 wrt_en=1 	 rd_en=0 	 buf_in=24 	 buf_out=00 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000001
Time:                   35 	  rst=0  	 wrt_en=1 	 rd_en=0 	 buf_in=81 	 buf_out=00 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000010
Time:                   45 	  rst=0  	 wrt_en=1 	 rd_en=0 	 buf_in=09 	 buf_out=00 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000011
Time:                   55 	  rst=0  	 wrt_en=1 	 rd_en=0 	 buf_in=63 	 buf_out=00 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000100
Time:                   65 	  rst=0  	 wrt_en=1 	 rd_en=0 	 buf_in=0d 	 buf_out=00 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000101
Time:                   75 	  rst=0  	 wrt_en=1 	 rd_en=0 	 buf_in=8d 	 buf_out=00 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000110
Time:                   85 	  rst=0  	 wrt_en=1 	 rd_en=0 	 buf_in=65 	 buf_out=00 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000111
Time:                   95 	  rst=0  	 wrt_en=1 	 rd_en=0 	 buf_in=12 	 buf_out=00 	 buf_empty=0 	 buf_full=0  	 fifo_count=0001000
Time:                  105 	  rst=0  	 wrt_en=0 	 rd_en=0 	 buf_in=12 	 buf_out=00 	 buf_empty=0 	 buf_full=0  	 fifo_count=0001000
Time:                  115 	  rst=0  	 wrt_en=1 	 rd_en=0 	 buf_in=01 	 buf_out=00 	 buf_empty=0 	 buf_full=0  	 fifo_count=0001001
Time:                  125 	  rst=0  	 wrt_en=0 	 rd_en=0 	 buf_in=01 	 buf_out=00 	 buf_empty=0 	 buf_full=0  	 fifo_count=0001001
Time:                  135 	  rst=0  	 wrt_en=0 	 rd_en=1 	 buf_in=01 	 buf_out=24 	 buf_empty=0 	 buf_full=0  	 fifo_count=0001000
Time:                  145 	  rst=0  	 wrt_en=0 	 rd_en=1 	 buf_in=01 	 buf_out=81 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000111
Time:                  155 	  rst=0  	 wrt_en=0 	 rd_en=1 	 buf_in=01 	 buf_out=09 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000110
Time:                  165 	  rst=0  	 wrt_en=0 	 rd_en=1 	 buf_in=01 	 buf_out=63 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000101
Time:                  175 	  rst=0  	 wrt_en=0 	 rd_en=1 	 buf_in=01 	 buf_out=0d 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000100
Time:                  185 	  rst=0  	 wrt_en=0 	 rd_en=1 	 buf_in=01 	 buf_out=8d 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000011
Time:                  195 	  rst=0  	 wrt_en=0 	 rd_en=1 	 buf_in=01 	 buf_out=65 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000010
Time:                  205 	  rst=0  	 wrt_en=0 	 rd_en=1 	 buf_in=01 	 buf_out=12 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000001
Time:                  215 	  rst=0  	 wrt_en=0 	 rd_en=0 	 buf_in=01 	 buf_out=12 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000001
Time:                  225 	  rst=0  	 wrt_en=0 	 rd_en=1 	 buf_in=01 	 buf_out=01 	 buf_empty=1 	 buf_full=0  	 fifo_count=0000000
Time:                  235 	  rst=0  	 wrt_en=0 	 rd_en=0 	 buf_in=01 	 buf_out=01 	 buf_empty=1 	 buf_full=0  	 fifo_count=0000000
Time:                  245 	  rst=0  	 wrt_en=1 	 rd_en=1 	 buf_in=0d 	 buf_out=01 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000001
Time:                  255 	  rst=0  	 wrt_en=1 	 rd_en=1 	 buf_in=76 	 buf_out=0d 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000001
Time:                  265 	  rst=0  	 wrt_en=1 	 rd_en=1 	 buf_in=3d 	 buf_out=76 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000001
Time:                  275 	  rst=0  	 wrt_en=1 	 rd_en=1 	 buf_in=ed 	 buf_out=3d 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000001
Time:                  285 	  rst=0  	 wrt_en=0 	 rd_en=0 	 buf_in=8c 	 buf_out=3d 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000001
Time:                  295 	  rst=0  	 wrt_en=1 	 rd_en=0 	 buf_in=aa 	 buf_out=3d 	 buf_empty=0 	 buf_full=0  	 fifo_count=0000010
Time:                  305 	  rst=1  	 wrt_en=1 	 rd_en=0 	 buf_in=aa 	 buf_out=00 	 buf_empty=1 	 buf_full=0  	 fifo_count=0000000
Time:                  315 	  rst=0  	 wrt_en=0 	 rd_en=0 	 buf_in=aa 	 buf_out=00 	 buf_empty=1 	 buf_full=0  	 fifo_count=0000000
$finish called at time : 415 ns : File "C:/Users/sidde/Desktop/Verilog/FIFO/FIFO.srcs/sim_1/new/fifo_tb.v" Line 113
