Time resolution is 1 ps
Time=                   0 	 reset=1 	 start=0 	 in=0 	 coins=000 	 done=x 	 product=x 	 change=xxx
Time=                   5 	 reset=1 	 start=0 	 in=0 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                  10 	 reset=0 	 start=0 	 in=0 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                  20 	 reset=0 	 start=1 	 in=0 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                  30 	 reset=0 	 start=0 	 in=0 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                  40 	 reset=0 	 start=0 	 in=0 	 coins=010 	 done=0 	 product=0 	 change=000
Time=                  45 	 reset=0 	 start=0 	 in=0 	 coins=010 	 done=1 	 product=0 	 change=000
Time=                  50 	 reset=0 	 start=0 	 in=0 	 coins=000 	 done=1 	 product=0 	 change=000
Time=                  65 	 reset=0 	 start=0 	 in=0 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                  70 	 reset=0 	 start=1 	 in=0 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                  80 	 reset=0 	 start=0 	 in=1 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                  90 	 reset=0 	 start=0 	 in=1 	 coins=101 	 done=0 	 product=0 	 change=000
Time=                  95 	 reset=0 	 start=0 	 in=1 	 coins=101 	 done=1 	 product=1 	 change=000
Time=                 100 	 reset=0 	 start=0 	 in=1 	 coins=000 	 done=1 	 product=1 	 change=000
Time=                 105 	 reset=0 	 start=0 	 in=1 	 coins=000 	 done=1 	 product=0 	 change=000
Time=                 115 	 reset=0 	 start=0 	 in=1 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                 120 	 reset=0 	 start=1 	 in=1 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                 130 	 reset=0 	 start=0 	 in=0 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                 140 	 reset=0 	 start=0 	 in=0 	 coins=001 	 done=0 	 product=0 	 change=000
Time=                 150 	 reset=0 	 start=0 	 in=0 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                 160 	 reset=0 	 start=0 	 in=0 	 coins=001 	 done=0 	 product=0 	 change=000
Time=                 165 	 reset=0 	 start=0 	 in=0 	 coins=001 	 done=1 	 product=0 	 change=000
Time=                 170 	 reset=0 	 start=0 	 in=0 	 coins=000 	 done=1 	 product=0 	 change=000
Time=                 185 	 reset=0 	 start=0 	 in=0 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                 190 	 reset=0 	 start=1 	 in=0 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                 200 	 reset=0 	 start=0 	 in=0 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                 210 	 reset=0 	 start=0 	 in=0 	 coins=101 	 done=0 	 product=0 	 change=000
Time=                 215 	 reset=0 	 start=0 	 in=0 	 coins=101 	 done=1 	 product=0 	 change=011
Time=                 220 	 reset=0 	 start=0 	 in=0 	 coins=000 	 done=1 	 product=0 	 change=011
Time=                 225 	 reset=0 	 start=0 	 in=0 	 coins=000 	 done=1 	 product=0 	 change=000
Time=                 235 	 reset=0 	 start=0 	 in=0 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                 240 	 reset=0 	 start=1 	 in=0 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                 250 	 reset=0 	 start=0 	 in=1 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                 260 	 reset=0 	 start=0 	 in=1 	 coins=010 	 done=0 	 product=0 	 change=000
Time=                 270 	 reset=0 	 start=0 	 in=1 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                 280 	 reset=0 	 start=0 	 in=1 	 coins=010 	 done=0 	 product=0 	 change=000
Time=                 290 	 reset=0 	 start=0 	 in=1 	 coins=000 	 done=0 	 product=0 	 change=000
Time=                 300 	 reset=0 	 start=0 	 in=1 	 coins=010 	 done=0 	 product=0 	 change=000
Time=                 305 	 reset=0 	 start=0 	 in=1 	 coins=010 	 done=1 	 product=1 	 change=001
Time=                 310 	 reset=0 	 start=0 	 in=1 	 coins=000 	 done=1 	 product=1 	 change=001
Time=                 315 	 reset=0 	 start=0 	 in=1 	 coins=000 	 done=1 	 product=0 	 change=000
Time=                 325 	 reset=0 	 start=0 	 in=1 	 coins=000 	 done=0 	 product=0 	 change=000
$finish called at time : 410 ns : File "C:/Users/sidde/Desktop/Verilog/vending_machine/vm_coin.srcs/sim_1/new/vm_add_coins_tb.v" Line 93
